-10 : ( -0.734739103506 ,  4.65977954566 )
-9 : ( 4.65977954566 ,  10.0542981948 )
-8 : ( 10.0542981948 ,  15.448816844 )
-7 : ( 15.448816844 ,  20.8433354932 )
-6 : ( 20.8433354932 ,  26.2378541423 )
-5 : ( 26.2378541423 ,  31.6323727915 )
-4 : ( 31.6323727915 ,  37.0268914407 )
-3 : ( 37.0268914407 ,  42.4214100898 )
-2 : ( 42.4214100898 ,  47.815928739 )
-1 : ( 47.815928739 ,  53.2104473882 )
0 : ( 53.2104473882 ,  58.6049660373 )
1 : ( 58.6049660373 ,  63.9994846865 )
2 : ( 63.9994846865 ,  69.3940033357 )
3 : ( 69.3940033357 ,  74.7885219848 )
4 : ( 74.7885219848 ,  80.183040634 )
5 : ( 80.183040634 ,  85.5775592831 )
6 : ( 85.5775592831 ,  90.9720779323 )
7 : ( 90.9720779323 ,  96.3665965815 )
8 : ( 96.3665965815 ,  101.761115231 )
9 : ( 101.761115231 ,  107.15563388 )
