prev/cur	(7.0, False)	(7.0, True)	(3.0, False)	(8.0, True)	(6.0, True)	(3.0, True)	(8.0, False)	(6.0, False)	(2.0, True)	(2.0, False)	(5.0, False)	(5.0, True)	(4.0, True)	(4.0, False)
(7.0, False)	136	4	0	0	3	0	4	92	0	0	0	0	0	0
(7.0, True)	4	2	0	1	1	0	0	1	0	0	0	0	0	0
(3.0, False)	0	0	105	0	0	42	0	0	0	6	0	0	19	28
(8.0, True)	1	0	0	0	0	0	0	0	0	0	0	0	0	0
(6.0, True)	18	2	0	0	61	0	0	73	0	0	8	16	1	0
(3.0, True)	0	0	42	0	0	60	0	0	2	4	0	0	46	18
(8.0, False)	5	0	0	0	0	0	3	0	0	0	0	0	0	0
(6.0, False)	75	1	0	0	71	0	1	525	0	0	85	24	0	0
(2.0, True)	0	0	0	0	0	3	0	0	2	1	0	0	0	0
(2.0, False)	0	0	6	0	0	3	0	0	2	20	0	0	0	0
(5.0, False)	0	0	0	0	15	0	0	59	0	0	235	133	26	50
(5.0, True)	0	0	0	0	28	0	0	32	0	0	140	291	80	34
(4.0, True)	0	0	23	0	0	52	0	0	0	0	26	112	445	145
(4.0, False)	0	0	24	0	0	12	0	0	0	0	24	29	187	171
