prev/cur	(12.0, True)	(9.0, True)	(8.0, False)	(14.0, False)	(5.0, True)	(4.0, False)	(9.0, False)	(8.0, True)	(15.0, False)	(14.0, True)	(11.0, True)	(5.0, False)	(10.0, False)	(4.0, True)	(7.0, True)	(6.0, False)	(11.0, False)	(16.0, False)	(10.0, True)	(13.0, True)	(7.0, False)	(12.0, False)	(6.0, True)	(17.0, False)	(16.0, True)	(13.0, False)
(12.0, True)	30	1	0	10	0	0	0	0	0	0	14	0	1	0	0	0	6	0	1	14	0	29	0	0	0	23
(9.0, True)	0	185	26	0	0	0	44	75	0	0	7	0	23	0	8	0	3	0	96	0	2	0	0	0	0	0
(8.0, False)	0	38	65	0	0	0	22	61	0	0	0	0	1	0	11	2	0	0	3	0	17	0	1	0	0	0
(14.0, False)	0	0	0	72	0	0	0	0	16	4	0	0	0	0	0	0	0	1	0	3	0	6	0	0	0	77
(5.0, True)	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0
(4.0, False)	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(9.0, False)	0	70	26	0	0	0	58	18	0	0	0	0	23	0	0	0	0	0	26	0	5	0	0	0	0	0
(8.0, True)	0	71	55	0	0	0	20	114	0	0	0	0	0	0	38	5	0	0	9	0	16	0	6	0	0	0
(15.0, False)	0	0	0	21	0	0	0	0	27	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	9
(14.0, True)	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
(11.0, True)	21	6	0	0	0	0	3	0	0	0	77	0	17	0	0	0	43	0	35	3	0	23	0	0	0	5
(5.0, False)	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	5	0	0	0	0	1	0	2	0	0	0
(10.0, False)	0	22	3	0	0	0	43	3	0	0	16	0	64	0	0	0	27	0	51	0	0	0	0	0	0	1
(4.0, True)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(7.0, True)	0	6	17	0	1	0	1	37	0	0	0	1	0	0	41	7	0	0	0	0	23	0	6	0	0	0
(6.0, False)	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	24	0	0	0	0	19	0	6	0	0	0
(11.0, False)	15	1	0	0	0	0	4	0	0	0	47	0	41	0	0	0	103	0	19	0	0	53	0	0	0	5
(16.0, False)	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
(10.0, True)	3	67	1	0	0	0	30	7	0	0	48	0	54	0	0	0	26	0	131	1	0	4	0	0	0	0
(13.0, True)	10	0	0	7	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	7	0	7	0	0	0	14
(7.0, False)	0	1	27	0	0	0	1	18	0	0	0	1	0	0	27	11	0	0	0	0	51	0	3	0	0	0
(12.0, False)	38	0	0	19	0	0	0	0	2	1	22	0	6	0	0	0	72	1	1	7	0	171	0	0	0	84
(6.0, True)	0	1	0	0	1	1	0	2	0	0	0	2	0	0	7	6	0	0	0	0	6	0	6	0	0	0
(17.0, False)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
(16.0, True)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(13.0, False)	12	0	0	43	0	0	0	0	11	0	1	0	0	0	0	0	7	0	0	14	0	131	0	0	0	139
