today/tmr	(0, True)	(-5, False)	(-1, True)	(0, False)	(-2, True)	(-1, False)	(-2, False)	(-5, True)	(3, False)	(-6, False)	(-3, False)	(2, True)	(-3, True)	(2, False)	(-7, False)	(-4, True)	(-7, True)	(-4, False)	(1, False)	(1, True)
(0, True)	0.45255474452554745	0.0	0.18248175182481752	0.10218978102189781	0.0072992700729927005	0.11678832116788321	0.0072992700729927005	0.0	0.0	0.0	0.0	0.0	0.014598540145985401	0.0	0.0	0.0	0.0	0.0	0.043795620437956206	0.072992700729927
(-5, False)	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.3076923076923077	0.0	0.0
(-1, True)	0.19631901840490798	0.0	0.36809815950920244	0.03680981595092025	0.2085889570552147	0.07975460122699386	0.07975460122699386	0.0	0.0	0.0	0.0	0.0	0.018404907975460124	0.0	0.0	0.0	0.0	0.0	0.006134969325153374	0.006134969325153374
(0, False)	0.2222222222222222	0.0	0.04938271604938271	0.35802469135802467	0.0	0.12345679012345678	0.0	0.0	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20987654320987653	0.024691358024691357
(-2, True)	0.02877697841726619	0.0	0.2733812949640288	0.007194244604316547	0.2949640287769784	0.07194244604316546	0.15827338129496402	0.0	0.0	0.0	0.05755395683453238	0.0	0.09352517985611511	0.0	0.0	0.014388489208633094	0.0	0.0	0.0	0.0
(-1, False)	0.1	0.0	0.2111111111111111	0.13333333333333333	0.05555555555555555	0.3333333333333333	0.14444444444444443	0.0	0.0	0.0	0.011111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.011111111111111112	0.0	0.0
(-2, False)	0.0	0.0	0.17073170731707318	0.0	0.32926829268292684	0.13414634146341464	0.1951219512195122	0.0	0.0	0.0	0.12195121951219512	0.0	0.04878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.25	0.0	0.0	0.0
(3, False)	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
(-6, False)	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0
(-3, False)	0.0	0.015151515151515152	0.015151515151515152	0.0	0.18181818181818182	0.0	0.12121212121212122	0.0	0.0	0.0	0.42424242424242425	0.0	0.15151515151515152	0.0	0.0	0.015151515151515152	0.0	0.07575757575757576	0.0	0.0
(2, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
(-3, True)	0.0	0.0	0.01639344262295082	0.0	0.26229508196721313	0.0	0.11475409836065574	0.0	0.0	0.0	0.13114754098360656	0.0	0.26229508196721313	0.0	0.0	0.09836065573770492	0.0	0.11475409836065574	0.0	0.0
(2, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.4	0.1
(-7, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-4, True)	0.0	0.05555555555555555	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.1111111111111111	0.16666666666666666	0.0	0.3888888888888889	0.0	0.0	0.05555555555555555	0.0	0.16666666666666666	0.0	0.0
(-7, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-4, False)	0.0	0.08571428571428572	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.17142857142857143	0.0	0.17142857142857143	0.0	0.0	0.11428571428571428	0.0	0.42857142857142855	0.0	0.0
(1, False)	0.15217391304347827	0.0	0.0	0.32608695652173914	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.021739130434782608	0.0	0.08695652173913043	0.0	0.0	0.0	0.0	0.30434782608695654	0.08695652173913043
(1, True)	0.20833333333333334	0.0	0.041666666666666664	0.20833333333333334	0.041666666666666664	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.041666666666666664	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.16666666666666666	0.16666666666666666
