today/tmr	(-1, False)	(0, False)	(0, True)	(1, False)	(1, True)	(2, False)	(2, True)	(3, False)	(3, True)	(4, False)	(4, True)	(5, False)	(6, False)
(-1, False)	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, False)	0.0	0.3157894736842105	0.15789473684210525	0.21052631578947367	0.21052631578947367	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, True)	0.034482758620689655	0.2413793103448276	0.27586206896551724	0.20689655172413793	0.20689655172413793	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(1, False)	0.0	0.05365853658536585	0.01951219512195122	0.3951219512195122	0.15609756097560976	0.2975609756097561	0.01951219512195122	0.04878048780487805	0.004878048780487805	0.004878048780487805	0.0	0.0	0.0
(1, True)	0.0	0.041666666666666664	0.08333333333333333	0.17708333333333334	0.23958333333333334	0.22916666666666666	0.16666666666666666	0.0625	0.0	0.0	0.0	0.0	0.0
(2, False)	0.0	0.011363636363636364	0.005681818181818182	0.24147727272727273	0.048295454545454544	0.48295454545454547	0.056818181818181816	0.1278409090909091	0.0	0.02556818181818182	0.0	0.0	0.0
(2, True)	0.0	0.0	0.0	0.07272727272727272	0.18181818181818182	0.2909090909090909	0.2	0.18181818181818182	0.05454545454545454	0.01818181818181818	0.0	0.0	0.0
(3, False)	0.0	0.0	0.0	0.015544041450777202	0.0	0.37305699481865284	0.015544041450777202	0.47668393782383417	0.02072538860103627	0.09844559585492228	0.0	0.0	0.0
(3, True)	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.4	0.2	0.1	0.1	0.0	0.0
(4, False)	0.0	0.0	0.0	0.0	0.0	0.1016949152542373	0.0	0.3898305084745763	0.0	0.4406779661016949	0.0	0.05084745762711865	0.01694915254237288
(4, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(5, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0
(6, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
