ytd-today/tmr	(-6, False)	(-5, False)	(-5, True)	(-4, False)	(-4, True)	(-3, False)	(-3, True)	(-2, False)	(-2, True)	(-1, False)	(-1, True)	(0, False)	(0, True)
(-6, False, -6, False)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-6, False, -5, False)	0.0	0.3333333333333333	0.0	0.0	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -6, False)	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -5, False)	0.0	0.42857142857142855	0.14285714285714285	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -5, True)	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -4, False)	0.0	0.2	0.0	0.4	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -4, True)	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, False, -3, True)	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, True, -5, True)	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
(-5, True, -4, False)	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-5, True, -4, True)	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
(-5, True, -3, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
(-4, False, -5, False)	0.3333333333333333	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-4, False, -4, False)	0.0	0.03571428571428571	0.0	0.5714285714285714	0.21428571428571427	0.14285714285714285	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0
(-4, False, -4, True)	0.0	0.0	0.07692307692307693	0.07692307692307693	0.23076923076923078	0.15384615384615385	0.3076923076923077	0.0	0.15384615384615385	0.0	0.0	0.0	0.0
(-4, False, -3, False)	0.0	0.0	0.0	0.16666666666666666	0.08333333333333333	0.3333333333333333	0.0	0.25	0.16666666666666666	0.0	0.0	0.0	0.0
(-4, False, -3, True)	0.0	0.0	0.0	0.0	0.25	0.0	0.5	0.08333333333333333	0.16666666666666666	0.0	0.0	0.0	0.0
(-4, True, -5, False)	0.4	0.4	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-4, True, -5, True)	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-4, True, -4, False)	0.0	0.1	0.0	0.2	0.4	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0
(-4, True, -4, True)	0.0	0.06666666666666667	0.0	0.26666666666666666	0.2	0.06666666666666667	0.26666666666666666	0.0	0.13333333333333333	0.0	0.0	0.0	0.0
(-4, True, -3, False)	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.0	0.14285714285714285	0.2857142857142857	0.0	0.0	0.0	0.0
(-4, True, -3, True)	0.0	0.0	0.0	0.0	0.0625	0.0625	0.375	0.0625	0.375	0.0	0.0625	0.0	0.0
(-4, True, -2, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.25	0.0	0.0
(-3, False, -4, False)	0.0	0.0	0.0	0.3333333333333333	0.13333333333333333	0.3333333333333333	0.2	0.0	0.0	0.0	0.0	0.0	0.0
(-3, False, -4, True)	0.0	0.0	0.0	0.4	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0
(-3, False, -3, False)	0.0	0.0	0.0	0.14285714285714285	0.02857142857142857	0.3142857142857143	0.2	0.14285714285714285	0.17142857142857143	0.0	0.0	0.0	0.0
(-3, False, -3, True)	0.0	0.0	0.0	0.0	0.09523809523809523	0.19047619047619047	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.047619047619047616	0.09523809523809523	0.0	0.0
(-3, False, -2, False)	0.0	0.0	0.0	0.0625	0.0	0.0	0.1875	0.4375	0.125	0.0625	0.125	0.0	0.0
(-3, False, -2, True)	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.5789473684210527	0.0	0.2631578947368421	0.0	0.0
(-3, False, -1, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0
(-3, True, -4, False)	0.0	0.0	0.0	0.42857142857142855	0.0	0.14285714285714285	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0
(-3, True, -4, True)	0.0	0.125	0.0	0.125	0.375	0.0625	0.3125	0.0	0.0	0.0	0.0	0.0	0.0
(-3, True, -3, False)	0.0	0.0	0.0	0.13043478260869565	0.043478260869565216	0.30434782608695654	0.30434782608695654	0.17391304347826086	0.043478260869565216	0.0	0.0	0.0	0.0
(-3, True, -3, True)	0.0	0.0	0.0	0.02	0.1	0.14	0.42	0.06	0.26	0.0	0.0	0.0	0.0
(-3, True, -2, False)	0.0	0.0	0.0	0.0	0.0	0.375	0.125	0.0	0.5	0.0	0.0	0.0	0.0
(-3, True, -2, True)	0.0	0.0	0.0	0.0	0.02857142857142857	0.05714285714285714	0.14285714285714285	0.11428571428571428	0.45714285714285713	0.05714285714285714	0.11428571428571428	0.02857142857142857	0.0
(-3, True, -1, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
(-3, True, -1, True)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0
(-3, True, 0, False)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
(-2, False, -4, False)	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-2, False, -3, False)	0.0	0.0	0.0	0.0	0.0	0.4375	0.125	0.125	0.25	0.0625	0.0	0.0	0.0
(-2, False, -3, True)	0.0	0.0	0.0	0.2	0.0	0.1	0.3	0.0	0.3	0.0	0.0	0.1	0.0
(-2, False, -2, False)	0.0	0.0	0.0	0.0	0.0	0.16216216216216217	0.05405405405405406	0.3783783783783784	0.2702702702702703	0.08108108108108109	0.02702702702702703	0.02702702702702703	0.0
(-2, False, -2, True)	0.0	0.0	0.0	0.0	0.02702702702702703	0.02702702702702703	0.1891891891891892	0.13513513513513514	0.4864864864864865	0.0	0.13513513513513514	0.0	0.0
